date,open,high,low,close,volume
2024-01-26,28950.0,29200.0,27000.0,29200.0,4900303
2024-01-29,25000.0,25050.0,20450.0,20450.0,10892576
2024-01-30,17450.0,22100.0,17380.0,17710.0,17225580
2024-01-31,18770.0,19000.0,16600.0,16710.0,4672954
2024-02-01,16310.0,18000.0,13890.0,16200.0,13384970
2024-02-02,16200.0,17150.0,15990.0,16010.0,3741318
2024-02-05,16030.0,20800.0,16030.0,20800.0,23622677
2024-02-06,19800.0,25150.0,19000.0,20050.0,20500590
2024-02-07,20350.0,22250.0,19420.0,21450.0,13304485
2024-02-08,21000.0,22800.0,20000.0,20000.0,4881954
2024-02-13,20800.0,22050.0,19340.0,19990.0,4553377
2024-02-14,19590.0,20100.0,19070.0,19210.0,1439113
2024-02-15,19280.0,19350.0,18200.0,18200.0,1622855
2024-02-16,17980.0,18570.0,17920.0,18040.0,1051852
2024-02-19,18010.0,20700.0,17850.0,18890.0,7019348
2024-02-20,19010.0,19900.0,18300.0,18360.0,2469535
2024-02-21,18460.0,19040.0,17860.0,17870.0,1747830
2024-02-22,17880.0,18250.0,17600.0,17660.0,851118
2024-02-23,17660.0,17730.0,17000.0,17000.0,737796
2024-02-26,15670.0,16430.0,15670.0,16100.0,956721
2024-02-27,16010.0,16190.0,15180.0,15200.0,729349
2024-02-28,15210.0,15850.0,15210.0,15330.0,473560
2024-02-29,15180.0,15250.0,14940.0,15000.0,293787
2024-03-04,14850.0,15250.0,14680.0,14710.0,353547
2024-03-05,14710.0,16300.0,14680.0,15290.0,1861527
2024-03-06,15150.0,15770.0,14940.0,15040.0,433349
2024-03-07,15040.0,15040.0,14700.0,14700.0,269322
2024-03-08,14870.0,14920.0,14240.0,14340.0,303644
2024-03-11,14340.0,15280.0,14030.0,14510.0,605062
2024-03-12,14530.0,14880.0,14340.0,14800.0,281615
2024-03-13,14800.0,14850.0,14300.0,14450.0,279335
2024-03-14,14600.0,18700.0,14510.0,17830.0,15508544
2024-03-15,18770.0,21100.0,18140.0,18380.0,19699732
2024-03-18,18300.0,19340.0,18070.0,18710.0,6182278
2024-03-19,18600.0,19170.0,17830.0,18250.0,2109767
2024-03-20,18000.0,19930.0,17990.0,18450.0,6231643
2024-03-21,18630.0,19390.0,18110.0,18390.0,2204457
2024-03-22,18700.0,19300.0,18390.0,18590.0,2089724
2024-03-25,18680.0,19170.0,17920.0,18000.0,1383049
2024-03-26,18960.0,20700.0,18670.0,20150.0,14077912
2024-03-27,19790.0,20250.0,19050.0,19050.0,2155472
2024-03-28,18710.0,19010.0,18150.0,18170.0,1263262
2024-03-29,18310.0,18630.0,17850.0,17890.0,884776
2024-04-01,17840.0,18340.0,17660.0,18130.0,586583
2024-04-02,18200.0,19320.0,17860.0,18120.0,2479140
2024-04-03,18200.0,19140.0,17900.0,18520.0,2008523
2024-04-04,18600.0,18790.0,18080.0,18140.0,654038
2024-04-05,18050.0,18960.0,17840.0,18450.0,1357131
2024-04-08,18940.0,18950.0,18150.0,18310.0,549214
2024-04-09,18550.0,19700.0,18340.0,18440.0,3403768
2024-04-11,18620.0,18940.0,18100.0,18240.0,876926
2024-04-12,18170.0,18350.0,16670.0,17080.0,1128607
2024-04-15,16710.0,16710.0,16240.0,16370.0,520966
2024-04-16,16200.0,17170.0,16130.0,16130.0,414515
2024-04-17,15960.0,16500.0,15960.0,16100.0,238545
2024-04-18,16020.0,17900.0,16020.0,17300.0,2616938
2024-04-19,17350.0,18120.0,16400.0,17090.0,1099074
2024-04-22,17410.0,18170.0,17300.0,18030.0,1219918
2024-04-23,18030.0,18850.0,17900.0,18200.0,1270722
2024-04-24,18310.0,18910.0,17960.0,17990.0,1117753
2024-04-25,18000.0,18110.0,17400.0,17410.0,539074
2024-04-26,16950.0,17190.0,16510.0,16680.0,1063339
2024-04-29,16810.0,16890.0,16300.0,16400.0,546580
2024-04-30,16480.0,16720.0,16330.0,16530.0,302557
2024-05-02,16700.0,16960.0,16350.0,16370.0,333328
2024-05-03,16500.0,16550.0,16170.0,16210.0,233313
2024-05-07,16310.0,16650.0,16160.0,16480.0,279139
2024-05-08,16600.0,16600.0,15800.0,15840.0,606382
2024-05-09,15960.0,16220.0,15840.0,15880.0,257843
2024-05-10,15950.0,16060.0,15860.0,15920.0,174906
2024-05-13,16050.0,16600.0,15830.0,16500.0,598294
2024-05-14,16670.0,16670.0,16280.0,16370.0,194017
2024-05-16,16420.0,16430.0,16080.0,16090.0,415315
2024-05-17,16150.0,16150.0,15840.0,15860.0,183177
2024-05-20,15860.0,15970.0,15410.0,15520.0,201612
2024-05-21,15520.0,15770.0,15420.0,15450.0,161407
2024-05-22,15520.0,15660.0,15390.0,15420.0,121009
2024-05-23,15550.0,15550.0,15150.0,15280.0,162771
2024-05-24,15200.0,15420.0,15070.0,15300.0,193091
2024-05-27,15290.0,15460.0,14870.0,15240.0,308865
2024-05-28,15310.0,15680.0,15250.0,15270.0,217561
2024-05-29,15500.0,16800.0,14940.0,15140.0,1175140
2024-05-30,15200.0,15780.0,15110.0,15160.0,250720
2024-05-31,15180.0,15280.0,14960.0,15010.0,166578
2024-06-03,14950.0,15450.0,14880.0,15280.0,250222
2024-06-04,15200.0,15280.0,14940.0,14960.0,199263
2024-06-05,14980.0,15040.0,14790.0,14820.0,148499
2024-06-07,14900.0,15000.0,14820.0,14850.0,107549
2024-06-10,14750.0,14850.0,14600.0,14690.0,137284
2024-06-11,14740.0,14880.0,14630.0,14660.0,115366
2024-06-12,14660.0,14790.0,14610.0,14620.0,96030
2024-06-13,14810.0,14810.0,14600.0,14620.0,129851
2024-06-14,14630.0,15050.0,14570.0,14650.0,246878
2024-06-17,14740.0,14750.0,14310.0,14320.0,164067
2024-06-18,14350.0,14390.0,14070.0,14160.0,149524
2024-06-19,14200.0,14760.0,14070.0,14590.0,345568
2024-06-20,14630.0,14890.0,14400.0,14410.0,171344
2024-06-21,14500.0,15320.0,14400.0,14610.0,588229
2024-06-24,14800.0,16250.0,14730.0,15370.0,2124818
2024-06-25,15770.0,16300.0,15140.0,15270.0,1625923
2024-06-26,15260.0,15980.0,15000.0,15650.0,512022
2024-06-27,15720.0,15880.0,15120.0,15220.0,258914
2024-06-28,15450.0,15940.0,15220.0,15360.0,425306
2024-07-01,15520.0,16290.0,15290.0,15890.0,726820
2024-07-02,15900.0,16170.0,15600.0,15970.0,404380
2024-07-03,15930.0,16070.0,15230.0,15340.0,425439
2024-07-04,15320.0,15520.0,15050.0,15260.0,230857
2024-07-05,15400.0,15490.0,14690.0,14720.0,310492
2024-07-08,14720.0,15050.0,14720.0,14950.0,124722
2024-07-09,15050.0,15080.0,14510.0,14520.0,231942
2024-07-10,14540.0,15040.0,14530.0,14760.0,219367
2024-07-11,14890.0,14980.0,14560.0,14570.0,131174
2024-07-12,14600.0,14620.0,14290.0,14400.0,113322
2024-07-15,14410.0,14630.0,14290.0,14380.0,207335
2024-07-16,14390.0,14760.0,14340.0,14650.0,202280
2024-07-17,14870.0,16580.0,14760.0,15820.0,3511368
2024-07-18,15500.0,15950.0,15300.0,15500.0,696581
2024-07-19,15540.0,15550.0,14750.0,14800.0,392893
2024-07-22,14800.0,15540.0,14800.0,15040.0,329138
2024-07-23,15130.0,15550.0,14950.0,15500.0,359257
2024-07-24,15580.0,15730.0,15260.0,15540.0,335398
2024-07-25,15270.0,15440.0,14930.0,14940.0,228262
2024-07-26,14890.0,16090.0,14500.0,15650.0,1094482
2024-07-29,15630.0,16220.0,15360.0,16040.0,675173
2024-07-30,15970.0,16020.0,15150.0,15220.0,465884
2024-07-31,15300.0,15600.0,15010.0,15210.0,281453
2024-08-01,15170.0,15420.0,15130.0,15340.0,151063
2024-08-02,15080.0,15160.0,14410.0,14440.0,303461
2024-08-05,13900.0,13940.0,11080.0,11750.0,541218
2024-08-06,12050.0,12800.0,11950.0,12610.0,236836
2024-08-07,12610.0,13200.0,12610.0,13050.0,137899
2024-08-08,12810.0,13390.0,12810.0,13180.0,122526
2024-08-09,13380.0,13620.0,13180.0,13310.0,146550
2024-08-12,13420.0,13490.0,13300.0,13460.0,94277
2024-08-13,13560.0,13570.0,13100.0,13200.0,92774
2024-08-14,13350.0,13630.0,13260.0,13600.0,111155
2024-08-16,13690.0,13820.0,13490.0,13720.0,202112
2024-08-19,13710.0,13800.0,13250.0,13250.0,142709
2024-08-20,13360.0,13550.0,13260.0,13430.0,79652
2024-08-21,13430.0,13430.0,13060.0,13200.0,78097
2024-08-22,13280.0,13290.0,12750.0,12810.0,148479
2024-08-23,12740.0,12740.0,12520.0,12650.0,78607
2024-08-26,12630.0,12720.0,12340.0,12360.0,100050
2024-08-27,12220.0,12460.0,12220.0,12410.0,77612
2024-08-28,12540.0,12650.0,12140.0,12150.0,103872
2024-08-29,12200.0,12200.0,11880.0,11880.0,89893
2024-08-30,11880.0,12280.0,11880.0,12240.0,90927
2024-09-02,12240.0,12310.0,11970.0,12140.0,69836
2024-09-03,12140.0,12260.0,12090.0,12100.0,45971
2024-09-04,11700.0,11890.0,11560.0,11570.0,100114
2024-09-05,11570.0,11660.0,11140.0,11180.0,95829
2024-09-06,11100.0,11180.0,10780.0,10780.0,109957
2024-09-09,10290.0,11840.0,10270.0,10670.0,568274
2024-09-10,10780.0,10990.0,10530.0,10570.0,151461
2024-09-11,10680.0,10870.0,10300.0,10410.0,110933
2024-09-12,10500.0,10990.0,10500.0,10990.0,116604
2024-09-13,11100.0,11280.0,10940.0,10990.0,79047
2024-09-19,11050.0,11280.0,10850.0,11050.0,64722
2024-09-20,11100.0,11400.0,11000.0,11060.0,79615
2024-09-23,11070.0,11190.0,10880.0,11120.0,51840
2024-09-24,11130.0,11300.0,11000.0,11300.0,73144
2024-09-25,11300.0,11480.0,11200.0,11300.0,98753
2024-09-26,11400.0,11490.0,11240.0,11490.0,67033
2024-09-27,11510.0,11510.0,11290.0,11310.0,54731
2024-09-30,11260.0,11380.0,11100.0,11140.0,49297
2024-10-02,10650.0,11070.0,10560.0,10860.0,46435
2024-10-04,11160.0,11160.0,10880.0,10930.0,26123
2024-10-07,10930.0,11070.0,10770.0,11020.0,52084
2024-10-08,10890.0,11080.0,10850.0,10900.0,59195
2024-10-10,11150.0,11150.0,10870.0,10870.0,35563
2024-10-11,10870.0,10910.0,10520.0,10540.0,75303
2024-10-14,10650.0,10750.0,10450.0,10730.0,78108
2024-10-15,10750.0,11020.0,10510.0,10800.0,62110
2024-10-16,10700.0,10940.0,10540.0,10560.0,61085
2024-10-17,10570.0,10700.0,10460.0,10690.0,57481
2024-10-18,10690.0,10770.0,10180.0,10240.0,143574
2024-10-21,10340.0,10540.0,10210.0,10320.0,70533
2024-10-22,10320.0,10420.0,10010.0,10040.0,89371
2024-10-23,10050.0,10250.0,9960.0,10150.0,99512
2024-10-24,10090.0,10090.0,9880.0,10010.0,109174
2024-10-25,9990.0,10110.0,9800.0,9840.0,81732
2024-10-28,9780.0,9920.0,9750.0,9900.0,77522
2024-10-29,9920.0,10120.0,9850.0,10090.0,68913
2024-10-30,9990.0,10120.0,9890.0,9940.0,54434
2024-10-31,9930.0,9990.0,9580.0,9960.0,89128
2024-11-01,9980.0,9980.0,9710.0,9860.0,58121
2024-11-04,9810.0,10190.0,9810.0,10110.0,64024
2024-11-05,10110.0,10400.0,10090.0,10180.0,70393
2024-11-06,10180.0,10310.0,10000.0,10300.0,66953
2024-11-07,10360.0,13390.0,10280.0,13390.0,5053687
2024-11-08,15310.0,15700.0,14270.0,14610.0,10252610
2024-11-11,15510.0,17770.0,15330.0,16580.0,11998877
2024-11-12,16110.0,16700.0,15650.0,16590.0,3258226
2024-11-13,16000.0,16200.0,14300.0,14450.0,1445425
2024-11-14,14340.0,14950.0,13930.0,14900.0,1325501
2024-11-15,13810.0,14370.0,13500.0,14200.0,851630
